Name of head/household,HouseHeadName                                                                                                                                                                                                                                                  ,Char
Name of respondent,RespondantsName                                                                                                                                                                                                                                                ,Char
Work Telephone Number,WorkNumber                                                                                                                                                                                                                                                     ,Char
Home Telephone number,HomeNumber                                                                                                                                                                                                                                                     ,Char
Neighbour's telephone Number,NeighbourNumber                                                                                                                                                                                                                                                ,Char
Cell phone number,CellNumber                                                                                                                                                                                                                                                     ,Char
How long have you been staying here in this house?,OccupationYears                                                                                                                                                                                                                                                ,Number
Address,Address                                                                                                                                                                                                                                                        ,Blob
StandNo,StandNo                                                                                                                                                                                                                                                        ,Char
Interviewer,InterviewerID                                                                                                                                                                                                                                                  ,Number
Language,LanguageID                                                                                                                                                                                                                                                     ,Number
Number of males: <16,MalesYoungerThan16                                                                                                                                                                                                                                             ,Number
Number of males: 16-24,Males16To24                                                                                                                                                                                                                                                    ,Number
Number of males: 25 - 34,Males25To34                                                                                                                                                                                                                                                    ,Number
Number of males: 35-49,Males35To49                                                                                                                                                                                                                                                    ,Number
Number of males: 50+,MalesOlderThan50                                                                                                                                                                                                                                               ,Number
Number of females: <16,FemalesYoungerThan16                                                                                                                                                                                                                                           ,Number
Number of females: 25-34,Females25To34                                                                                                                                                                                                                                                  ,Number
Number of females: 35 - 49,Females35To49                                                                                                                                                                                                                                                  ,Number
Number of femals: 50+,FemalesOlder50                                                                                                                                                                                                                                                 ,Number
Head full time employed,EmployHeadFull                                                                                                                                                                                                                                                 ,Number
Head emploed part time,EmployHeadPartTime                                                                                                                                                                                                                                             ,Number
Head unemployed,EmployHeadUnEmployed                                                                                                                                                                                                                                           ,Number
Head on pension,EmployHeadPension                                                                                                                                                                                                                                              ,Number
Head self employed,EmployHeadSelf                                                                                                                                                                                                                                                 ,Number
Spouse full time employed,EmploySpouseFull                                                                                                                                                                                                                                               ,Number
Spouse employed part time,EmploySpousePart                                                                                                                                                                                                                                               ,Number
Spouse unemployed,EmploySpouseUnemployed                                                                                                                                                                                                                                         ,Number
Spouse on pension,EmploySpousePension                                                                                                                                                                                                                                            ,Number
Spouse self employed,EmploySpouseSelf                                                                                                                                                                                                                                               ,Number
Persons older than 16 years: Employed fulltime,EmployOlder16Full                                                                                                                                                                                                                                              ,Number
Persons older than 16 years: Employed parttime,EmployOlder16part                                                                                                                                                                                                                                              ,Number
Persons older than 16 years: Employed unemployed,EmployOlder16Unemployed                                                                                                                                                                                                                                        ,Number
Persons older than 16 years: Pension,EmployOlder16Pension                                                                                                                                                                                                                                           ,Number
Persons older than 16 years: Self employed ,EmployOlder16Self                                                                                                                                                                                                                                              ,Number
Persons younger than 16 years: Employed fulltime,EmployUnder16Full                                                                                                                                                                                                                                              ,Number
Persions younger than 16 year : Employed parttime,EmployUnder16Part                                                                                                                                                                                                                                              ,Number
Persons younger than 16 years: Unemployed,EmployUnder16Unemployed                                                                                                                                                                                                                                        ,Number
Persons younger than 16 years: Pension,EmployUnder16Pension                                                                                                                                                                                                                                           ,Number
Persions younger than 16 years: Self,EmployUnder16Self                                                                                                                                                                                                                                              ,Number
EducHeadNone,EducHeadNone                                                                                                                                                                                                                                                   ,Number
EducHeadGrade 1,EducHeadGrade1                                                                                                                                                                                                                                                 ,Number
EducHeadGrade 2,EducHeadGrade2                                                                                                                                                                                                                                                 ,Number
